KenPom,Results
Central Connecticut,Central Connecticut St
Miami FL,Miami
North Carolina St,NC State
Penn,Pennsylvania
UC Santa Barbara,Santa Barbara
Milwaukee,Wisconsin Milwaukee
Troy St,Troy
Saint Josephs,St Josephs
UCF,Central Florida
UTSA,Texas San Antonio
Alabama AM,Alabama A&M
Saint Marys,St Marys
Texas AM,Texas A&M
Florida AM,Florida A&M
Texas AM Corpus Chris,Texas A&M Corpus Christi
UT Arlington,Texas Arlington
LIU Brooklyn,Long Island Brooklyn
Saint Peters,St Peters
Loyola MD,Loyola Maryland
Southern Miss,Southern Mississippi
Middle Tennessee,Middle Tennessee St
North Carolina AT,North Carolina A&T
UC Irvine,Cal Irvine
Mississippi,Ole Miss
Green Bay,Wisconsin Green Bay
Miami OH,Miami Ohio
Texas AM Corpus Christi,Texas A&M Corpus Christi
Saint Louis,St Louis
Lafayette,Louisiana Lafayette